Customer_ID,Age,Annual_Income,Monthly_Spending,Purchase_Frequency,Avg_Order_Value,Days_Since_Last_Purchase,Total_Items_Purchased,Returns_Count,Satisfaction_Score,Tenure_Months,Discount_Usage,Website_Visits,Email_Opens,Mobile_App_Usage,Social_Media_Engagement,Referral_Count,Loyalty_Points,Avg_Session_Length,Cart_Abandonment,Review_Count,Payment_Method
1,56,49674,2158,19,194,129,433,4,4,51,1,43,29,13,15,4,1283,48,11,1,Card
2,69,50854,1424,42,42,55,387,8,1,28,6,57,43,7,12,3,2846,52,3,18,UPI
3,46,61271,828,35,232,3,105,3,4,31,3,50,45,37,2,4,2233,38,14,16,Cash
4,32,88688,2948,46,424,166,466,5,2,11,10,68,9,11,1,4,4088,27,8,10,Card
5,60,53518,2143,26,254,121,238,1,4,23,1,81,18,25,15,4,1432,36,7,16,Cash
6,25,25267,201,5,32,129,211,1,5,57,15,50,28,26,5,2,3140,48,11,9,NetBanking
7,38,105825,1515,29,120,102,221,1,3,2,6,37,1,28,5,6,1796,23,14,17,Cash
8,56,16062,878,37,436,38,15,9,1,40,12,46,35,14,12,2,4722,55,1,5,Cash
9,36,65448,313,20,43,85,121,6,5,41,4,42,18,0,6,1,2055,21,7,15,Cash
10,40,110462,1211,49,383,157,385,1,5,27,16,15,6,27,4,2,3336,13,0,17,Cash
11,28,21229,1676,21,30,133,388,1,2,35,11,33,25,2,6,2,782,37,8,19,NetBanking
12,28,71793,2548,10,292,92,456,8,3,2,18,80,14,17,1,7,1507,47,8,17,Card
13,41,62915,2735,5,471,21,332,6,3,39,6,11,46,33,16,3,4870,26,12,0,Cash
14,53,19632,1795,36,450,109,115,2,1,37,5,20,37,31,12,2,3854,40,14,2,Card
15,57,119592,691,6,300,47,148,2,2,21,7,24,2,28,15,9,676,7,7,14,UPI
16,41,18596,1433,26,113,84,308,6,1,58,12,64,37,24,19,4,1830,46,10,19,Cash
17,20,21168,1209,4,220,83,410,4,4,5,4,80,15,25,1,3,4090,39,4,9,Cash
18,39,22561,2239,39,40,35,105,9,5,52,1,94,1,38,4,8,4306,22,4,4,UPI
19,19,88794,2820,39,359,69,397,5,1,45,8,98,30,7,17,7,1360,39,12,14,Card
20,41,97152,813,35,486,129,456,7,5,21,10,65,27,18,6,6,4585,23,2,13,NetBanking
21,61,41734,1035,1,230,140,461,8,2,29,5,88,6,21,10,7,2686,58,4,14,Cash
22,47,21371,2051,24,159,27,346,0,4,20,6,88,29,28,10,4,190,30,3,9,UPI
23,55,41069,341,36,312,56,306,2,2,38,6,73,42,32,16,3,842,18,0,8,UPI
24,19,94905,2143,6,317,23,476,6,4,20,18,86,6,37,15,6,334,42,8,11,Cash
25,38,27910,101,41,420,153,398,5,4,50,5,76,35,34,12,0,1110,18,14,6,Card
26,50,88479,2372,46,120,21,425,6,5,25,10,17,28,2,4,5,578,46,9,4,Card
27,29,92735,2948,44,323,61,223,7,2,2,10,89,23,18,19,7,61,10,13,9,Cash
28,39,96264,1868,31,378,63,463,5,2,57,6,92,38,9,15,6,386,39,3,7,UPI
29,61,38275,2049,20,47,122,300,2,1,32,1,61,3,26,15,1,1169,30,2,19,Cash
30,42,87274,2736,24,60,52,31,1,2,26,18,15,28,14,15,6,2200,26,5,15,NetBanking
31,66,96449,2263,25,374,88,202,6,1,6,3,94,43,10,13,5,4714,7,0,11,NetBanking
32,44,115776,1017,36,322,153,477,0,3,41,5,51,4,25,5,4,1683,7,4,8,Card
33,59,75004,2341,21,165,55,159,2,3,57,16,27,28,23,1,3,486,5,14,9,NetBanking
34,45,77981,189,30,275,46,377,3,3,3,4,86,29,12,13,0,3732,1,6,15,UPI
35,33,99659,1809,24,481,32,256,0,2,33,6,74,28,31,15,1,540,46,1,9,NetBanking
36,32,69553,2269,44,246,55,276,4,2,1,8,61,25,36,19,6,2060,18,9,8,Cash
37,64,63447,242,42,255,96,470,9,1,51,0,58,18,3,12,9,4246,13,8,2,UPI
38,68,49529,205,30,380,133,260,2,4,5,0,31,25,12,14,2,1238,25,11,18,Card
39,61,90703,986,22,399,36,499,1,1,13,18,91,36,8,11,4,990,40,14,10,Card
40,69,91090,527,28,474,110,12,2,3,19,5,12,26,33,8,7,4467,8,5,5,NetBanking
41,20,32260,1428,7,32,177,402,7,1,12,17,46,29,36,17,7,2299,10,1,5,Card
42,54,18812,1995,35,229,106,325,5,4,48,9,31,29,6,13,5,3907,32,7,14,Cash
43,68,43024,2094,28,248,58,85,6,2,25,10,32,2,0,19,4,4288,17,7,14,UPI
44,24,73656,416,14,416,39,96,5,1,57,0,32,42,11,3,1,1080,38,0,12,Cash
